Year,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,PE10,gdp_growth,inflation_rate,gold_close,gold_volume,cape_yield,cape_yield_minus_10y_yield,dividend_yield,sp500_annual_avg_yoy_change,gold_annual_avg_yoy_change,gdp_growth_lag1
2000,1427.0075,16.555,51.49,172.20000000000002,6.029166666666666,41.70083333333333,4.07758575682804,3.37685727149929,270.28095172700426,461.20238095238096,2.398033612437801,-3.6311330542288647,1.1601200414153394,,,
2001,1192.0783333333334,15.829166666666666,35.916666666666664,177.0666666666667,5.0175,32.064166666666665,0.955538348341605,2.82617111885407,271.0437241527233,575.8947368421053,3.1187462640018713,-1.8987537359981288,1.3278629620257059,-16.463064606644785,,4.07758575682804
2002,995.63,15.8825,27.025833333333335,179.875,4.610833333333333,25.918333333333333,1.70044732643726,1.58603162650601,310.47560095214845,795.468,3.858272779885538,-0.752560553447795,1.5952211162781356,-16.479481913241166,14.548160789440278,0.955538348341605
2003,963.6891666666667,16.4825,36.285,183.95833333333334,4.015,24.1075,2.79560596320081,2.27009497336115,363.71960107421876,1944.056,4.1480866950119255,0.13308669501192583,1.7103543933166556,-3.2081027423172648,17.149173706012544,1.70044732643726
2004,1130.5475,18.63416666666667,55.300000000000004,188.88333333333333,4.274166666666667,26.41333333333333,3.84777169556921,2.67723669309172,409.5204809717385,2971.895582329317,3.7859666834931858,-0.4881999831734811,1.6482427024664306,17.31453866089254,12.592359543519315,2.79560596320081
2005,1207.0608333333332,20.980833333333333,64.005,195.29166666666666,4.29,26.014166666666668,3.48354993555606,3.3927468454955,445.27177441504693,2013.9959677419354,3.844059326648941,-0.44594067335105914,1.7381753059946579,6.7678123505056975,8.730037960122372,3.84777169556921
2006,1310.67,23.578333333333333,75.83666666666666,201.59166666666667,4.791666666666667,25.978333333333335,2.78453963650701,3.22594410070404,604.2164018554688,2496.6,3.8493616475267847,-0.9423050191398823,1.7989526984926285,8.583591133559288,35.69609316674682,3.48354993555606
2007,1476.6333333333332,26.355,79.49000000000001,207.34416666666667,4.629166666666666,26.834166666666665,2.00385829784946,2.85267248150138,697.0051567440942,2973.9603174603176,3.726592341852738,-0.9025743248139286,1.7848032686968103,12.662480512511397,15.356874557473677,2.78453963650701
2008,1220.8883333333333,28.507500000000004,47.42250000000001,215.30166666666665,3.6666666666666665,20.775833333333335,0.113587249881704,3.839100296651,870.9826088403996,5205.913043478261,4.813284665677269,1.1466179990106027,2.3349801305879736,-17.319465450687368,24.960712329447144,2.00385829784946
2009,946.7358333333333,25.28833333333333,16.462500000000002,214.53666666666666,3.2566666666666664,16.9225,-2.57650022958367,-0.355546266299747,974.1492067367311,4897.936507936508,5.909292362239622,2.6526256955729557,2.67110765674691,-22.45516584235796,11.84485164792033,0.113587249881704
2010,1139.3075,22.228333333333335,67.11166666666666,218.05583333333334,3.214166666666667,20.719166666666666,2.69519257744442,1.6400434423899,1227.501984126984,6054.523809523809,4.826448940192254,1.612282273525587,1.9510389717730583,20.34059131243051,26.007594692701197,-2.57650022958367
2011,1268.89,24.536666666666665,83.9775,224.9383333333333,2.785833333333333,21.755,1.56440685763506,3.156841568622,1572.1357160295759,5748.9047619047615,4.596644449551827,1.810811116218494,1.9337110913212858,11.373795046552427,28.07602239011451,2.69519257744442
2012,1379.5633333333333,28.72583333333333,87.40416666666668,229.59333333333333,1.8025,21.353333333333335,2.28911338669843,2.06933726526067,1668.8376000976561,6072.788,4.683109584764283,2.880609584764283,2.08224099896344,8.722058912382735,6.1509883073135985,1.56440685763506
2013,1642.5116666666665,33.380833333333335,92.16416666666667,232.95749999999998,2.3508333333333336,23.24416666666667,2.11783009790057,1.46483265562717,1408.6591264028398,4703.289682539683,4.302154662460115,1.9513213291267815,2.0323041845466348,19.060258197642256,-15.590400988064468,2.28911338669843
2014,1930.6674999999998,37.51416666666667,102.88416666666667,236.735,2.540833333333333,25.468333333333334,2.52381981363968,1.62222297740817,1265.8174569266182,5017.738095238095,3.926444604410706,1.385611271077373,1.9430671861761113,17.543609532961213,-10.140257980011313,2.11783009790057
2015,2061.1991666666668,41.78333333333333,94.15249999999999,237.01833333333332,2.1358333333333333,26.215,2.94555045484053,0.118627135552451,1158.8436502123636,4819.460317460317,3.8146099561319855,1.6787766227986523,2.027137115570669,6.7609604795578315,-8.450966300779662,2.52381981363968
2016,2091.8441666666668,44.574999999999996,88.58166666666666,240.00750000000002,1.8416666666666668,26.05416666666667,1.81945147788167,1.26158320570536,1249.7060024414063,5413.364,3.83815768431153,1.9964910176448631,2.1308948682840856,1.486755889269964,7.840777503711727,2.94555045484053
2017,2448.2175,47.405833333333334,104.04,245.11916666666664,2.33,29.846666666666668,2.45762229852507,2.13011000365961,1257.6972126143862,6539.346613545817,3.350457895912441,1.020457895912441,1.9363407594845363,17.03632321241266,0.6394472105734073,1.81945147788167
2018,2744.6800000000003,51.36833333333333,123.29916666666666,251.1075,2.91,31.4525,2.96650506901305,2.44258329692817,1267.5996005859374,7281.44,3.179397504172959,0.26939750417295905,1.8715600118532336,12.109320352460507,0.7873427620123996,2.45762229852507
2019,2912.500986832612,56.245152018777866,134.9175,255.6575,2.1075,29.424166666666665,2.58382533412825,1.81221007526021,1392.7222207690043,6489.920634920635,3.3985669376079755,1.2910669376079755,1.9311633634825065,6.11440994333079,9.870831461703666,2.96650506901305
2020,3218.500956035923,59.09412525259673,105.75583333333334,258.81166666666667,0.8941666666666667,29.813333333333333,-2.16302914036166,1.23358439630629,1773.164029690588,4885.241106719368,3.3542039355992843,2.4600372689326178,1.8360760509259006,10.506433150983785,27.31641696012572,2.58382533412825
2021,4266.794426168765,58.61098471203203,156.42,270.9691666666667,1.4425000000000001,36.815,6.05505293244555,4.69785886363742,1797.6690455845423,4653.869047619048,2.7162841233192996,1.2737841233192995,1.3736538220019174,32.5708609210412,1.381993740208598,-2.16302914036166
2022,4100.699783852748,64.01349635709484,189.6308333333333,292.6558333333333,2.9516666666666667,30.985,2.51237531986017,8.00279982052121,1800.0681269064366,4002.637450199203,3.2273680813296757,0.275701414663009,1.5610383527504168,-3.892726616903297,0.13345511665714405,6.05505293244555
2023,4233.679774479017,68.16166666666666,176.76666666666665,303.56444444444446,3.764444444444444,29.425555555555555,2.88755600749487,4.11633838374488,1942.769197265625,3985.948,3.398406524940528,-0.36603791950391606,1.6099863546022304,3.242860917297641,7.927537198518797,2.51237531986017
